ApiName,Appid,BackendId,BusinessUnitClaim,CachedPromptTokens,ClientId,CompletionTokens,CostCenterClaim,DeploymentRegion,IsError,IsStreaming,ModelName,ModelVersion,Oid,OperationName,PromptTokens,RequestId,StatusCode,TableName,TimeGenerated,TotalLatencyMs,TotalTokens,UpnOrAppName,_ingested_at,_source_system,_source_api,_watermark,_batch_id,_data_class
AI Gateway,0999cfae-085e-464f-a49d-f8851e3e5195,aoai-checkout-prod.openai.azure.com,Retail,0,0999cfae-085e-464f-a49d-f8851e3e5195,322,CC-1000,eastus2,False,True,gpt-4.1-mini,2025-04-14,,Chat Completions,2541,de8a774b-cf36-d58b-4737-819096da1dac,200,PrimaryResult,2026-06-30T17:12:45.8038374Z,221.0722,2863,0999cfae-085e-464f-a49d-f8851e3e5195,2026-09-04T18:00:00Z,AI-FinOps-MOCK,loganalytics.ApimAiGateway_CL,2026-06-30,batch-2026-09-04,MOCK
AI Gateway,0999cfae-085e-464f-a49d-f8851e3e5195,aoai-checkout-prod.openai.azure.com,Retail,0,0999cfae-085e-464f-a49d-f8851e3e5195,1931,CC-1000,eastus2,False,False,gpt-4.1,2025-04-14,,Chat Completions,24376,0b1f9163-ce9f-f57f-43b7-a3a69a8dca03,200,PrimaryResult,2026-06-30T02:24:06.7022674Z,4791.9049,26307,0999cfae-085e-464f-a49d-f8851e3e5195,2026-09-04T18:00:00Z,AI-FinOps-MOCK,loganalytics.ApimAiGateway_CL,2026-06-30,batch-2026-09-04,MOCK
AI Gateway,0999cfae-085e-464f-a49d-f8851e3e5195,aoai-checkout-prod.openai.azure.com,Retail,0,0999cfae-085e-464f-a49d-f8851e3e5195,522,CC-1000,eastus2,False,True,gpt-4.1,2025-04-14,,Chat Completions,13903,fc377a4c-4a15-544d-c5e7-ce8a3a578a8e,200,PrimaryResult,2026-06-30T18:12:45.2166941Z,684.2853,14425,0999cfae-085e-464f-a49d-f8851e3e5195,2026-09-04T18:00:00Z,AI-FinOps-MOCK,loganalytics.ApimAiGateway_CL,2026-06-30,batch-2026-09-04,MOCK
AI Gateway,0999cfae-085e-464f-a49d-f8851e3e5195,aoai-checkout-prod.openai.azure.com,Retail,0,0999cfae-085e-464f-a49d-f8851e3e5195,1756,CC-1000,eastus2,False,False,gpt-4.1,2025-04-14,,Chat Completions,4809,9bf00273-1247-6f57-a5e5-a5abaefcfad8,200,PrimaryResult,2026-06-30T11:22:13.5479144Z,4193.0628,6565,0999cfae-085e-464f-a49d-f8851e3e5195,2026-09-04T18:00:00Z,AI-FinOps-MOCK,loganalytics.ApimAiGateway_CL,2026-06-30,batch-2026-09-04,MOCK
AI Gateway,0999cfae-085e-464f-a49d-f8851e3e5195,aoai-checkout-prod.openai.azure.com,Retail,0,0999cfae-085e-464f-a49d-f8851e3e5195,2093,CC-1000,eastus2,False,True,gpt-4.1,2025-04-14,,Chat Completions,6854,66b2bc5b-50c1-87fc-ce17-7b4e0837b8a3,200,PrimaryResult,2026-06-30T21:20:53.1938483Z,1872.1223,8947,0999cfae-085e-464f-a49d-f8851e3e5195,2026-09-04T18:00:00Z,AI-FinOps-MOCK,loganalytics.ApimAiGateway_CL,2026-06-30,batch-2026-09-04,MOCK
AI Gateway,0999cfae-085e-464f-a49d-f8851e3e5195,aoai-checkout-prod.openai.azure.com,Retail,3741,0999cfae-085e-464f-a49d-f8851e3e5195,3140,CC-1000,eastus2,False,False,gpt-4.1,2025-04-14,,Chat Completions,20085,95a76d79-bf3c-4c06-4343-08bc89fa6a68,200,PrimaryResult,2026-06-30T04:16:08.5137722Z,2887.7018,26966,0999cfae-085e-464f-a49d-f8851e3e5195,2026-09-04T18:00:00Z,AI-FinOps-MOCK,loganalytics.ApimAiGateway_CL,2026-06-30,batch-2026-09-04,MOCK
AI Gateway,0999cfae-085e-464f-a49d-f8851e3e5195,aoai-checkout-prod.openai.azure.com,Retail,0,0999cfae-085e-464f-a49d-f8851e3e5195,1098,CC-1000,eastus2,False,False,gpt-4.1-mini,2025-04-14,,Chat Completions,13361,98ae4334-6c12-ace8-ae34-0454cac5b68c,200,PrimaryResult,2026-06-30T01:55:07.3564251Z,581.4951,14459,0999cfae-085e-464f-a49d-f8851e3e5195,2026-09-04T18:00:00Z,AI-FinOps-MOCK,loganalytics.ApimAiGateway_CL,2026-06-30,batch-2026-09-04,MOCK
AI Gateway,0999cfae-085e-464f-a49d-f8851e3e5195,aoai-checkout-prod.openai.azure.com,Retail,0,0999cfae-085e-464f-a49d-f8851e3e5195,2117,CC-1000,eastus2,False,False,gpt-4.1-mini,2025-04-14,,Chat Completions,21026,6f4cc69a-4b22-d308-1c8e-aee95715bd6f,200,PrimaryResult,2026-06-30T21:56:34.5476583Z,1179.557,23143,0999cfae-085e-464f-a49d-f8851e3e5195,2026-09-04T18:00:00Z,AI-FinOps-MOCK,loganalytics.ApimAiGateway_CL,2026-06-30,batch-2026-09-04,MOCK
AI Gateway,0999cfae-085e-464f-a49d-f8851e3e5195,aoai-checkout-prod.openai.azure.com,Retail,0,0999cfae-085e-464f-a49d-f8851e3e5195,3147,CC-1000,eastus2,False,False,gpt-4.1,2025-04-14,,Chat Completions,25161,295b4715-c333-e861-5fb8-d16c2720797d,200,PrimaryResult,2026-06-30T20:19:53.9517169Z,3588.8755,28308,0999cfae-085e-464f-a49d-f8851e3e5195,2026-09-04T18:00:00Z,AI-FinOps-MOCK,loganalytics.ApimAiGateway_CL,2026-06-30,batch-2026-09-04,MOCK
AI Gateway,0999cfae-085e-464f-a49d-f8851e3e5195,aoai-checkout-prod.openai.azure.com,Retail,0,0999cfae-085e-464f-a49d-f8851e3e5195,1527,CC-1000,eastus2,False,True,gpt-4.1,2025-04-14,,Chat Completions,21126,fa5d3100-11b7-e948-d0e6-e6607c69dee1,200,PrimaryResult,2026-06-30T07:03:15.2321324Z,4987.0057,22653,0999cfae-085e-464f-a49d-f8851e3e5195,2026-09-04T18:00:00Z,AI-FinOps-MOCK,loganalytics.ApimAiGateway_CL,2026-06-30,batch-2026-09-04,MOCK
